year_ce,lead_concentration_pg_g,lead_flux_ug_m2_a,lead_emissions_kt_a
246.5,1.15,0.065363385788,0.18277904589555588
247.5,1.37,0.04229733524800001,0.18277904589555588
248.5,1.17,0.033285657019999984,0.18277904589555588
249.5,1.73,0.10257474701599999,0.18277904589555588
250.5,1.69,0.07453508784300002,0.17153336953449516
251.5,1.44,0.057329147847999994,0.1795004600428946
252.5,2.81,0.17380617819300004,0.19338793403500226
253.5,2.46,0.12190712042399998,0.19338793403500226
254.5,3.42,0.2486307295,0.19338793403500226
255.5,,,0.1795004600428946
256.5,1.72,0.0718611524,0.15844718794473409
257.5,1.8,0.08318744080300004,0.15844718794473409
258.5,2.07,-0.02840866265300001,0.15844718794473409
259.5,1.7,0.03716860994000004,0.1403832626602769
260.5,2.18,0.05736454756000002,0.1403832626602769
261.5,1.12,0.054332252766,0.1406725016992349
262.5,1.57,0.057128651185000025,0.1406725016992349
263.5,2.49,0.15939304962500003,0.1400940236213189
264.5,1.87,-0.02530352285299998,0.1406725016992349
265.5,2.53,0.10243321343999996,0.1406725016992349
266.5,1.63,0.09180016531499997,0.1400940236213189
267.5,1.75,0.11780662479600003,0.19769863551637315
268.5,1.41,0.05069076795299998,0.22511741939143387
269.5,1.39,0.08061911633499995,0.22511741939143387
270.5,1.17,0.02071734348199999,0.22511741939143387
271.5,1.29,0.040347764011,0.22511741939143387
272.5,2.17,0.18359652603,0.2888918911016063
273.5,2.33,0.17867241745200005,0.328913065856973
274.5,1.96,0.145977553064,0.328913065856973
275.5,1.55,0.02383338235499998,0.3393903105250937
276.5,1.74,0.13839927046400002,0.3393903105250937
277.5,1.53,0.134126776602,0.3558768883889767
278.5,2.97,0.250200908602,0.3558768883889767
279.5,2.66,0.10813038852000005,0.3558768883889767
280.5,2.54,0.14512229784,0.3558768883889767
281.5,1.87,0.13549971552,0.464225846371536
282.5,1.87,0.18930569458200003,0.464225846371536
283.5,1.98,0.24696354677599996,0.464225846371536
284.5,3.39,0.349473707301,0.3558768883889767
285.5,2.89,0.22939310394000006,0.464225846371536
286.5,3.12,0.27719828886000003,0.464225846371536
287.5,2.07,0.10489423794499997,0.464225846371536
288.5,1.33,0.06765071851200001,0.365113246431751
289.5,1.88,0.11950570333799998,0.29305846504410327
290.5,2.94,0.24054553055999997,0.2572274251814556
291.5,1.94,0.10444915309299996,0.25613596360348734
292.5,2.26,0.14888877311999993,0.24183065065860276
293.5,1.67,0.09861561921199997,0.24183065065860276
294.5,1.94,0.09574739265599999,0.24183065065860276
295.5,1.63,0.07088657760599999,0.2347970275893947
296.5,1.11,0.013009701636000001,0.2347970275893947
297.5,1.24,0.052963944256000026,0.22022807918491824
298.5,2.85,0.252427396914,0.22022807918491824
299.5,2.01,0.07894143480000002,0.2037314551702061
300.5,1.6,0.08980635141800002,0.2037314551702061
301.5,2.1,0.12587053187500005,0.22022807918491824
302.5,1.19,0.03215831863200002,0.23847055189084676
303.5,1.74,0.09724541150800003,0.2861447853449953
304.5,2.22,0.08307922734300006,0.2861447853449953
305.5,1.9,0.11668638824,0.2861447853449953
306.5,1.87,0.1343766151,0.2861447853449953
307.5,1.93,0.13537037008799999,0.27900475829384147
308.5,1.77,0.13316790009600002,0.27900475829384147
309.5,2.24,0.20156219452600005,0.2861447853449953
310.5,1.98,0.08896530695600001,0.32656165609855803
311.5,1.49,0.04723444551999997,0.32656165609855803
312.5,1.12,0.11377477142500003,0.32656165609855803
313.5,1.74,0.11035787599500001,0.32656165609855803
314.5,2.91,0.24115483140000005,0.425397814022497
315.5,2.09,0.17347209184199994,0.27900475829384147
316.5,1.54,0.08275208970600001,0.27900475829384147
317.5,2.12,0.186685445952,0.27900475829384147
318.5,2.9,0.26321773965999995,0.27062565920515713
319.5,2.37,0.20122104634800003,0.23657866901038135
320.5,1.76,0.09647392451400001,0.2198313450220927
321.5,1.22,0.08281521151999997,0.2198313450220927
322.5,0.94,0.008290562192999998,0.3471894987175652
323.5,1.01,0.011778096615000021,0.34902609823718816
324.5,1.57,0.08103963916399998,0.29539268438913974
325.5,,,0.2198313450220927
326.5,2.82,0.26974895164799995,0.2498666880160441
327.5,2.16,0.23990104443200003,0.2920940014259478
328.5,2.21,0.18818333216599997,0.3254280273830911
329.5,1.77,0.144441215088,0.35420669976789804
330.5,1.26,0.08038807462399998,0.35420669976789804
331.5,1.76,0.12097002490099998,0.3431875449707608
332.5,1.56,0.11725478854,0.33423910690140285
333.5,3.59,0.3946890877200001,0.33216839017362365
334.5,,,0.29664935499828426
335.5,1.79,0.13545425854999998,0.29664935499828426
336.5,1.27,0.03477155382000001,0.33216839017362365
337.5,2.2,0.13714308510500006,0.33630982362918216
338.5,,,0.34683307248686795
339.5,1.01,0.05146488612,0.34683307248686795
340.5,3.77,0.42046755562500004,0.3415714480580251
341.5,3.46,0.32997715968600005,0.3415714480580251
342.5,1.84,0.14143433892000004,0.3725580030332642
343.5,2.84,0.31757462079,0.40406279159167285
344.5,2.24,0.16241497101200006,0.40661734675469496
345.5,2.08,0.11496920036000005,0.40661734675469496
346.5,1.78,0.116546694033,0.3982829335796605
347.5,2.08,0.16712888362199999,0.3982829335796605
348.5,1.72,0.17179769849200002,0.40661734675469496
349.5,2.47,0.16581364406600002,0.40661734675469496
350.5,1.16,0.069071403489,0.40984264960368516
351.5,1.76,0.15830158915200002,0.42129177446685173
352.5,2.5,0.26057255798000006,0.4358366935869835
353.5,3.47,0.36892303316400005,0.45038161270711546
354.5,2.57,0.22491609662199996,0.4518317619142769
355.5,2.31,0.18366018326400002,0.45328191112143834
356.5,2.0,0.184842889936,0.5024167729429662
357.5,,,0.5515516347644938
358.5,,,0.5024167729429662
359.5,,,0.45328191112143834
360.5,,,0.4518317619142769
361.5,,,0.45328191112143834
362.5,,,0.5025187741609008
363.5,,,0.3719138189416012
364.5,,,0.33384695467783027
365.5,,,0.287577909200066
366.5,,,0.33384695467783027
367.5,2.73,0.204921088144,0.287577909200066
368.5,1.65,0.09840284079999997,0.29171291137642313
369.5,1.87,0.13613875688600002,0.31277993302712676
370.5,1.07,0.06277118136,0.33384695467783027
371.5,2.38,0.19128042805499998,0.31277993302712676
372.5,1.75,0.09173376921999998,0.33384695467783027
373.5,1.59,0.11895700280000003,0.33384695467783027
374.5,2.76,0.28201937320000003,0.4397239399720872
375.5,2.54,0.26975522003999997,0.4397239399720872
376.5,1.47,0.095115070337,0.4397239399720872
377.5,2.23,0.179314113015,0.40811432901363004
378.5,2.28,0.22494794721299996,0.40811432901363004
379.5,2.24,0.22490801902800006,0.40811432901363004
380.5,2.2,0.16642409535500005,0.40811432901363004
381.5,1.96,0.10562717594999999,0.3951502682652615
382.5,1.62,0.15380148773400004,0.3962267012251035
383.5,1.78,0.12807620971200004,0.3962267012251035
384.5,1.89,0.144716150266,0.3962267012251035
385.5,3.1,0.261729714675,0.3951502682652615
386.5,1.71,0.16113750792399997,0.37716047567491645
387.5,1.66,0.16157646428699995,0.3951502682652615
388.5,3.68,0.375432836622,0.3951502682652615
389.5,2.16,0.17100438273000004,0.3951502682652615
390.5,1.75,0.140988941936,0.3951502682652615
391.5,1.19,0.12426517414999999,0.3951502682652615
392.5,1.77,0.21250789106,0.34574084548162487
393.5,1.7,0.08943854801,0.3394403446525251
394.5,1.16,0.044201314949999994,0.3394403446525251
395.5,2.57,0.011736816767999926,0.3394403446525251
396.5,2.69,0.20954920249,0.3394403446525251
397.5,1.7,0.09469568519099997,0.43455863208451634
398.5,1.61,0.138419673777,0.3394403446525251
399.5,2.29,0.21894528962,0.3394403446525251
400.5,2.14,0.17720776282999998,0.43455863208451634
401.5,3.37,0.24781064217000004,0.43455863208451634
402.5,2.74,0.22036779372900006,0.387138294922227
403.5,1.85,0.117453150431,0.39353080059675766
404.5,1.68,0.10691710080599999,0.39353080059675766
405.5,1.92,0.19559002769099998,0.387138294922227
406.5,1.9,0.15787032193999995,0.33032617057096236
407.5,1.3,0.029275839720000033,0.3178782650619771
408.5,2.09,0.160477108564,0.2880250818034228
409.5,2.1,0.134703023641,0.3178782650619771
410.5,1.62,0.09961297236800003,0.3178782650619771
411.5,1.76,0.129626918084,0.28017129168029126
412.5,2.45,0.11425046965400004,0.2698368101310457
413.5,1.23,0.05531479688799999,0.28017129168029126
414.5,3.22,0.185671787645,0.28017129168029126
415.5,1.63,0.11003619286799998,0.28017129168029126
416.5,1.36,0.05406533318000001,0.28017129168029126
417.5,1.45,0.03807683267500001,0.2750040509056685
