wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
7719,0,Cherchel B,299,,,,0.0,0.0,-150.0,400.0,,,,western_med
7720,0,Chia,300,,,,0.0,0.0,200.0,275.0,,,,western_med
7721,0,Chiessi,301,Italy,,"Elba, Tuscany",0.0,0.0,60.0,85.0,amphorae; Bronze ingots.,,,western_med
7722,0,Chretienne A,302,France,Western Mediterranean,Var,0.0,0.0,-150.0,-100.0,,,,western_med
7723,0,Chretienne B,303,France,Western Mediterranean,Var,0.0,0.0,50.0,200.0,,,,western_med
7724,0,Chretienne C,304,France,Western Mediterranean,Var,0.0,0.0,-175.0,-150.0,,,,western_med
7725,0,Chretienne D,305,France,Western Mediterranean,Var,43.4175,6.88555,325.0,375.0,amphorae,Lusitania- Baetica,,western_med
7726,0,Chretienne E,306,France,Western Mediterranean,Var,0.0,0.0,-300.0,-150.0,,,,western_med
7727,0,Chretienne F,307,France,Western Mediterranean,Var,0.0,0.0,15.0,20.0,,,,western_med
7728,0,Chretienne I,308,France,Western Mediterranean,Var,0.0,0.0,1.0,100.0,,,,western_med
7729,0,Chretienne J,309,France,Western Mediterranean,Var,0.0,0.0,-125.0,-75.0,,,,western_med
7730,0,La Ciaccia,310,,,,0.0,0.0,-300.0,-50.0,,,,western_med
7731,0,Cikat,311,,,,0.0,0.0,-100.0,100.0,,,,adriatic
7732,0,La Ciotat A,312,France,Western Mediterranean,,0.0,0.0,-200.0,-140.0,,,,western_med
7733,0,La Ciotat B,313,France,Western Mediterranean,,0.0,0.0,-400.0,-300.0,,,,western_med
7734,0,La Ciotat C,314,France,Western Mediterranean,Bouches-du-Rhône,43.1601,5.61942,-125.0,-75.0,amphorae,,,western_med
7735,0,La Citotat D,315,France,Western Mediterranean,,0.0,0.0,275.0,280.0,,,,western_med
7736,0,Ciovo,316,,,,0.0,0.0,-100.0,200.0,,,,adriatic
7737,0,Circeo A,317,,,,0.0,0.0,-550.0,-500.0,,,,western_med
7738,0,Circeo B,318,,,,0.0,0.0,-250.0,-150.0,,,,western_med
7739,0,Circeo C,319,,,,0.0,0.0,-150.0,-1.0,,,,western_med
7740,0,Circeo D,320,,,,0.0,0.0,-25.0,25.0,,,,western_med
7741,0,Circeo E,321,,,,0.0,0.0,200.0,325.0,,,,western_med
7742,0,Cirella di Diamante,322,,,,0.0,0.0,-100.0,-1.0,,,,western_med
7743,0,Civitavecchia,323,,,,0.0,0.0,50.0,150.0,,,,western_med
7744,0,Çökertme A,324,,,,0.0,0.0,-700.0,-400.0,,,,eastern_med
7746,0,Colonia de Sant Jordi A,326,,,,0.0,0.0,-100.0,-80.0,amphorae,,,western_med
7747,0,Colonia de Sant Jordi C,327,,,,0.0,0.0,250.0,300.0,,,,western_med
7748,0,Colonia de Sant Jordi D,328,,,,0.0,0.0,,,,,,western_med
7749,0,Coltellazzo A,329,,,,0.0,0.0,-700.0,-500.0,,,,western_med
7750,0,Coltellazzo B,330,,,,0.0,0.0,-400.0,-100.0,,,,western_med
7751,0,Coltellazzo C,331,,,,0.0,0.0,-100.0,-75.0,,,,western_med
7752,0,Columbretes,332,,,,0.0,0.0,-25.0,75.0,,,,western_med
7753,0,Comino,333,,,,0.0,0.0,-350.0,-200.0,,,,western_med
7754,0,Conillera,334,,,,0.0,0.0,30.0,190.0,,,,western_med
7755,0,Agios Petros Byzantine,,Greece,Aegean,"Kyra-Panagia Island, Northern Sporades",39.2874,24.04357,1025.0,1075.0,amphorae,,,eastern_med
7756,0,Corbella,336,,,,0.0,0.0,-150.0,400.0,,,,western_med
7758,0,Corsica,338,,,,0.0,0.0,274.0,274.0,,,,western_med
7759,0,Corte Cavanella,339,,,,0.0,0.0,1.0,300.0,,,,western_med
7760,0,Cova del Infern,341,Spain,Western Mediterranean,,0.0,0.0,-100.0,150.0,,,,western_med
7761,0,Cueva del Jarro A,343,,,,0.0,0.0,-350.0,-250.0,,,,western_med
7762,0,Cueva del Jarro B,344,,,,0.0,0.0,75.0,100.0,,,,western_med
7763,0,Culip A,345,,,,0.0,0.0,-50.0,25.0,,,,western_med
7764,0,Culip C,346,,,,0.0,0.0,-50.0,25.0,,,,western_med
7765,0,Culip D/ Culip IV,347,,,,0.0,0.0,70.0,80.0,,,,western_med
7766,0,Culip E,348,,,,0.0,0.0,50.0,100.0,,,,western_med
7767,0,Culip F,349,,,,0.0,0.0,1350.0,1400.0,,,,western_med
7769,0,Datca A,351,,,,0.0,0.0,400.0,650.0,,,,eastern_med
7770,0,Datca B,352,Turkey,,,0.0,0.0,650.0,725.0,,,,eastern_med
7771,0,Datca C,353,,,,0.0,0.0,275.0,325.0,,,,eastern_med
7772,0,Le Dattier,354,,,,0.0,0.0,-550.0,-525.0,,,,western_med
7773,0,Dattilo,355,,,,0.0,0.0,-400.0,-375.0,,,,western_med
7775,0,Delphinion,357,,,,0.0,0.0,400.0,600.0,amphorae,,,eastern_med
7776,0,Denia,358,,,,0.0,0.0,150.0,225.0,,,,western_med
7778,0,Dhia B,360,,,,0.0,0.0,900.0,1000.0,,,,eastern_med
7779,0,Dhia C,361,,,,0.0,0.0,1100.0,1200.0,,,,eastern_med
7780,0,Dhokos,362,Greece,,Argolid,0.0,0.0,-2210.0,-2190.0,"Most of the 1,381 objects recorded were vase fragments dating from the Early Helladic II  period, inlcuding saucers, deep and medium-depth bowls, pots, jugs and plates. Fragments of a pyxis, a cylindrical or spherical box with a lid were also found. Larger vases included several wide-lipped earthenware jars and a pithos. Grinding wheels, fragments of lead ingots and obsidian blade shafts were also found.",Attica? Euboea?,Argolic Gulf,eastern_med
7782,0,Diano Marina,364,Italy,,Liguria,0.0,0.0,25.0,75.0,amphorae,"Llobregat and Maresme, Spain",,western_med
7783,0,Domu de S'Orku,365,,,,0.0,0.0,-700.0,-400.0,,,,western_med
7784,0,Donuzlav,366,,,,0.0,0.0,-325.0,-275.0,,,,black_sea
7785,0,Dor,367,Israel,Eastern Mediterranean,,0.0,0.0,600.0,700.0,,,,eastern_med
7786,0,Dragonera A,368,,,,0.0,0.0,200.0,275.0,,,,western_med
7787,0,Dragonera B,369,,,,0.0,0.0,-100.0,-25.0,,,,western_med
7788,0,Dragonera C,370,,,,0.0,0.0,,,,,,western_med
7789,0,Dramont A,371,France,Western Mediterranean,Var,43.41136,6.84173,-75.0,-25.0,marble; blocks; marble:Stone blocks measuring 4 x 1 x 1m,,,western_med
7790,0,Dramont B,372,France,Western Mediterranean,Var,0.0,0.0,1.0,10.0,amphorae,"Lllobregat, Spain",,western_med
7791,0,Dramont C,373,France,Western Mediterranean,Var,43.41158,6.84293,-125.0,-100.0,"amphorae; Iron bars and blocks of resin; 3 millstones. Numerous ceramics, ollae, olpes, jars, plates, cups and some copper tableware.",,,western_med
7793,0,Dramont E,375,France,Western Mediterranean,Var,0.0,0.0,425.0,455.0,"amphorae; 30 tubuli of which 22 were intact may have been  part of the cargo? 800-900 plates of terra sigillata D  (Hayes 61B, Hayes 64, Hayes 65 and Hayes 50 B), some with geometric motifs, others botanical.",Neapolis (Nabeul) North Africa,,western_med
7794,0,Dramont F,376,,,Var,0.0,0.0,390.0,410.0,,,,western_med
7795,0,Dramont G,377,France,Western Mediterranean,Var,0.0,0.0,60.0,70.0,"Tegulae and imbrices from Frejus, cf Bartelemy B and Roches d'Aurelle wrecks.",,,western_med
7797,0,Dunas del Pinatar,380,,,,0.0,0.0,1.0,250.0,,,,western_med
7798,0,Eloro A,381,,,,0.0,0.0,300.0,450.0,,,,western_med
7799,0,Eloro B,382,,,,0.0,0.0,-300.0,-100.0,,,,western_med
7800,0,Les Embiez,383,,,,0.0,0.0,-150.0,-50.0,,,,western_med
7801,0,Empoli,384,,,,0.0,0.0,1300.0,1400.0,,,,western_med
7802,0,Erdek,385,,,,0.0,0.0,900.0,1200.0,,,,eastern_med
7803,0,Los Escolletes A,386,,,,0.0,0.0,200.0,300.0,,,,western_med
7804,0,Los Escolletes B,387,,,,0.0,0.0,200.0,400.0,,,,western_med
7805,0,Escombreras,388,,,,0.0,0.0,-140.0,-100.0,,,,western_med
7806,0,Los Esculls,389,,,,0.0,0.0,-100.0,-25.0,,,,western_med
7807,0,Los Espines,390,,,,0.0,0.0,-25.0,50.0,,,,western_med
7808,0,L'Esquillade,391,,,,0.0,0.0,-150.0,-100.0,,,,western_med
7809,0,Est-Perduto 1,392,France,Western Mediterranean,Corsica,41.37002,9.30314,1.0,50.0,amphorae,,,western_med
7810,0,L'Esterel,393,,,,0.0,0.0,-110.0,-90.0,,,,western_med
7811,0,Esteu dou Mieu A,394,,,,0.0,0.0,-575.0,-525.0,,,,western_med
7812,0,Esteu dou Mieu B,395,,,,0.0,0.0,-200.0,-180.0,,,,western_med
7813,0,Fano,396,,,,0.0,0.0,-200.0,-1.0,,,,western_med
7814,0,Favaritx,397,Spain,Western Mediterranean,Minorca,0.0,0.0,450.0,600.0,"Hundreds of bronze plates, keys, chains, candelabra, statuettes, balances and coins - Christian liturgical objects,",Syria,,western_med
7815,0,Femmina Morta,398,Italy,,Sicily,0.0,0.0,300.0,325.0,,,,western_med
7816,0,Fethiye,399,,,,0.0,0.0,-325.0,-300.0,,,,eastern_med
7817,0,Filfla,400,,,,0.0,0.0,-150.0,400.0,,,,western_med
